game_type,yards
Regular,6
Regular,46
Regular,168
Regular,86
Regular,364
Regular,202
Regular,203
Regular,250
Regular,107
Regular,185
Regular,258
Regular,213
Regular,218
Regular,237
Regular,108
Regular,198
Regular,294
Regular,269
Regular,410
Regular,353
Regular,240
Regular,183
Regular,130
Regular,265
Regular,328
Regular,172
Regular,239
Regular,210
Regular,183
Regular,134
Regular,133
Regular,221
Regular,123
Regular,255
Regular,181
Regular,289
Regular,219
Regular,112
Regular,283
Regular,259
Regular,350
Regular,212
Regular,368
Regular,236
Regular,163
Regular,228
Regular,138
Regular,204
Regular,335
Regular,219
Regular,298
Regular,76
Regular,231
Regular,230
Regular,271
Regular,234
Regular,233
Regular,315
Regular,172
Regular,157
Regular,260
Regular,171
Regular,264
Regular,226
Regular,306
Regular,270
Regular,372
Regular,224
Regular,350
Regular,299
Regular,199
Regular,265
Regular,275
Regular,222
Regular,248
Regular,271
Regular,329
Regular,258
Regular,185
Regular,37
Regular,163
Regular,220
Regular,320
Regular,188
Regular,140
Regular,195
Regular,372
Regular,201
Regular,253
Regular,244
Regular,267
Regular,305
Regular,78
Regular,109
Regular,249
Regular,225
Regular,297
Regular,279
Regular,311
Regular,231
Regular,265
Regular,388
Regular,354
Regular,306
Regular,255
Regular,373
Regular,380
Regular,257
Regular,399
Regular,140
Regular,215
Regular,356
Regular,76
Regular,378
Regular,216
Regular,277
Regular,258
Regular,215
Regular,380
Regular,308
Regular,332
Regular,375
Regular,310
Regular,237
Regular,352
Regular,192
Regular,115
Regular,267
Regular,186
Regular,258
Regular,248
Regular,252
Regular,153
Regular,292
Regular,159
Regular,240
Regular,224
Regular,350
Regular,186
Regular,341
Regular,326
Regular,369
Regular,163
Regular,140
Regular,199
Regular,517
Regular,423
Regular,387
Regular,226
Regular,321
Regular,289
Regular,198
Regular,342
Regular,329
Regular,234
Regular,361
Regular,289
Regular,357
Regular,320
Regular,304
Regular,338
Regular,236
Regular,316
Regular,335
Regular,340
Regular,223
Regular,395
Regular,259
Regular,304
Regular,237
Regular,331
Regular,323
Regular,238
Regular,296
Regular,443
Regular,267
Regular,284
Regular,288
Regular,185
Regular,225
Regular,316
Regular,197
Regular,269
Regular,228
Regular,116
Regular,432
Regular,296
Regular,344
Regular,371
Regular,418
Regular,364
Regular,172
Regular,122
Regular,249
Regular,149
Regular,234
Regular,159
Regular,292
Regular,361
Regular,261
Regular,354
Regular,333
Regular,257
Regular,349
Regular,245
Regular,317
Regular,287
Regular,182
Regular,80
Regular,288
Regular,466
Regular,358
Regular,275
Regular,312
Regular,355
Regular,356
Regular,299
Regular,334
Regular,277
Regular,280
Regular,312
Regular,226
Regular,267
Regular,231
Regular,134
Regular,406
Regular,376
Regular,222
Regular,315
Regular,316
Regular,280
Regular,286
Regular,269
Regular,406
Regular,188
Regular,214
Regular,276
Regular,267
Regular,447
Regular,378
Regular,307
Regular,303
Regular,257
Regular,249
Regular,333
Regular,266
Regular,340
Regular,227
Regular,258
Regular,233
Regular,298
Regular,224
Regular,190
Regular,277
Regular,234
Regular,133
Regular,274
Regular,341
Regular,340
Regular,277
Regular,324
Regular,294
Regular,254
Regular,283
Regular,311
Regular,358
Regular,279
Regular,126
Regular,250
Playoffs,312
Playoffs,115
Playoffs,145
Playoffs,201
Playoffs,237
Playoffs,354
Playoffs,144
Playoffs,207
Playoffs,236
Playoffs,201
Playoffs,341
Playoffs,212
Playoffs,280
Playoffs,232
Playoffs,262
Playoffs,209
Playoffs,266
Playoffs,154
Playoffs,299
Playoffs,363
Playoffs,239
Playoffs,276
Playoffs,344
Playoffs,320
Playoffs,198
Playoffs,277
Playoffs,367
Playoffs,226
Playoffs,328
Playoffs,302
Playoffs,310
Playoffs,287
Playoffs,384
Playoffs,466
Playoffs,337
Playoffs,290
Playoffs,505
Playoffs,343
Playoffs,348
Playoffs,262